"collection_date","tests","moving_average_tests","cases","moving_average_cases","percent_results_returned_1day"
2020-08-06,156,156,0,0,0.935897435897436
2020-08-07,85,120.5,0,0,0.882352941176471
2020-08-10,195,87.2,0,0,1
2020-08-11,72,84.6666666666667,0,0,0.847222222222222
2020-08-12,234,106,0,0,1
2020-08-13,573,165.571428571429,0,0,1
2020-08-14,10,154.857142857143,0,0,0.5
2020-08-17,659,221.142857142857,1,0.2,1
2020-08-18,597,296.142857142857,0,0.2,0.974874371859296
2020-08-19,811,378.571428571429,0,0.2,1
2020-08-20,1029,443.714285714286,3,0.8,0.993197278911565
2020-08-21,1013,587,0,0.8,0.989141164856861
2020-08-22,671,682.857142857143,1,0.833333333333333,0.995529061102832
2020-08-23,851,804.428571428571,1,0.857142857142857,1
2020-08-24,1461,919,1,0.857142857142857,0.889801505817933
2020-08-25,1778,1087.71428571429,0,0.857142857142857,0.512373453318335
2020-08-26,1351,1164.85714285714,1,1,0.991117690599556
2020-08-27,1506,1233,0,0.571428571428571,0.00796812749004
2020-08-28,2058,1382.28571428571,0,0.571428571428571,0.010689990281827
2020-08-29,11,1288,0,0.428571428571429,0
2020-08-30,3,1166.85714285714,0,0.285714285714286,1
2020-08-31,2163,1267.14285714286,0,0.142857142857143,0.995839112343967
2020-09-01,2187,1325.57142857143,0,0.142857142857143,1
2020-09-02,1299,1318.14285714286,1,0.142857142857143,0.996920708237105
2020-09-03,2051,1396,1,0.285714285714286,1
2020-09-04,2367,1440.14285714286,2,0.571428571428571,0.934093789607098
2020-09-05,4,1439.14285714286,0,0.571428571428571,0
2020-09-06,2,1439,0,0.571428571428571,1
2020-09-07,2083,1427.57142857143,0,0.571428571428571,1
2020-09-08,2314,1445.71428571429,0,0.571428571428571,0.996542783059637
2020-09-09,1631,1493.14285714286,0,0.428571428571429,0.995708154506438
2020-09-10,1914,1473.57142857143,1,0.428571428571429,1
2020-09-11,2325,1467.57142857143,0,0.142857142857143,0.983225806451613
2020-09-12,7,1468,0,0.142857142857143,0
2020-09-13,4,1468.28571428571,0,0.142857142857143,1
